"user_id","datetime","weekday","place_name","transport_mode","lon_x","lat_y","geometry","traj","traj_id2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:33:06,"Tue",NA,"Bike",8.530551,47.364357,c(2682481.38340614, 1246519.43209514),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:33:18,"Tue",NA,"Bike",8.530551,47.364357,c(2682481.38340614, 1246519.43209514),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:33:44,"Tue",NA,"Bike",8.531711,47.364084,c(2682569.42408115, 1246490.30233865),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:33:59,"Tue",NA,"Bike",8.53146,47.364021,c(2682550.56283034, 1246483.03449481),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:34:09,"Tue",NA,"Bike",8.531523,47.364033,c(2682555.30283709, 1246484.43482211),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:34:19,"Tue",NA,"Bike",8.531752,47.363869,c(2682572.85391107, 1246466.44372974),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:34:30,"Tue",NA,"Bike",8.531691,47.363723,c(2682568.4724776, 1246450.14858865),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:34:40,"Tue",NA,"Bike",8.531861,47.363609,c(2682581.48975365, 1246437.65399156),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:34:50,"Tue",NA,"Bike",8.532093,47.363433,c(2682599.28623511, 1246418.33208597),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:35:01,"Tue",NA,"Bike",8.533624,47.363324,c(2682715.09781352, 1246407.82710759),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:35:11,"Tue",NA,"Bike",8.533627,47.363344,c(2682715.29338821, 1246410.05368727),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:35:25,"Tue",NA,"Bike",8.534584,47.363477,c(2682787.37296981, 1246425.84859866),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:35:36,"Tue",NA,"Bike",8.535583,47.363809,c(2682862.31531557, 1246463.81173565),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:35:50,"Tue",NA,"Bike",8.536617,47.364341,c(2682939.58923479, 1246524.04698586),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:36:00,"Tue",NA,"Bike",8.537408,47.364745,c(2682998.70660386, 1246569.79633968),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:36:10,"Tue",NA,"Bike",8.53792,47.364944,c(2683037.06906515, 1246592.4609983),"COMBINE","2"
